5033=ETF Project Fixed Income Valuations|5034=914|5035=201|5026=1|
5033=Taiwan OTC [ E1:Sym] and UTS [E:Sym]|5034=915|5035=201|5026=1|
5033=Taiwan Stock Exchange|5034=916|5035=201|5026=1|
5033=ICAP: Deposits and CDs|5034=917|5035=201|5026=1|
5033=New Zealand Stock Exchange|5034=918|5035=201|5026=1|
5033=Johannesburg Stock Exchange|5034=919|5035=201|5026=1|
5033=Thailand Stock Exchange|5034=920|5035=201|5026=1|
5033=Korean Stock Exchange Indices|5034=921|5035=201|5026=1|
5033=UTC Time Stamp|5034=922|5035=201|5026=1|
5033=Inactive Exchange|5034=929|5035=201|5026=1|
5033=LME Level 1|5034=930|5035=201|5026=1|
5033=LME Level 2|5034=931|5035=201|5026=1|
5033=Turkey Stock Exchange|5034=932|5035=201|5026=1|
5033=POSIT- ITG Stock Exchange|5034=933|5035=201|5026=1|
5033=MSCI Indices|5034=934|5035=201|5026=1|
5033=ICAP: Interest Rate Swaps|5034=935|5035=201|5026=1|
5033=Tokyo Stock Exchange Level 2|5034=936|5035=201|5026=1|
5033=Brazilian Mercantile and Futures Exchange (BM&F)|5034=937|5035=201|5026=1|
5033=Hong Kong Stock Exchange Level 2|5034=938|5035=201|5026=1|
5033=Pink Sheets Level 1 (Sourced from PinkSheets.com)|5034=939|5035=201|5026=1|
5033=Pink Sheets Level 2(Sourced from PinkSheets.com)|5034=940|5035=201|5026=1|
5033=National Stock Exchange of India - Equities and Indices|5034=941|5035=201|5026=1|
5033=LMEmini Level 2|5034=942|5035=201|5026=1|
5033=National Stock Exchange of India - Futures and Options arket|5034=943|5035=201|5026=1|
5033=Warsaw Stock Exchange - Level 1|5034=944|5035=201|5026=1|
5033=CBOT E-Mini Contracts Level-2|5034=945|5035=201|5026=1|
5033=Oslo Stock Exchange Level 1|5034=946|5035=201|5026=1|
5033=Oslo Stock Exchange Level 2|5034=947|5035=201|5026=1|
5033=OMX - Nordic Derivatives Level 2|5034=948|5035=201|5026=1|
5033=OMX - Nordic Fixed Income Level 2|5034=949|5035=201|5026=1|
5033=Budapest  Stock Exchange Equities|5034=950|5035=201|5026=1|
5033=Budapest  Stock Exchange Indices|5034=951|5035=201|5026=1|
5033=Swiss Non Listed Investment Funds|5034=952|5035=201|5026=1|
5033=OMX - Nordic Fixed Income Level 1|5034=953|5035=201|5026=1|
5033=Irish Stock Exchange Bonds & Funds|5034=954|5035=201|5026=1|
5033=Taiwan Bond|5034=961|5035=201|5026=1|
5033=Irish Stock Exchange Equities|5034=962|5035=201|5026=1|
5033=CBOT - ECBOT Depth|5034=963|5035=201|5026=1|
5033=Buenos Aires Stock Exchange Stock Bonds, Indices|5034=964|5035=201|5026=1|
